Tec-9 | Blue Blast (Field-Tested)
M4A1-S | Wash me plz (Field-Tested)
SCAR-20 | Zinc (Minimal Wear)
AK-47 | Olive Polycam (Minimal Wear)
MAG-7 | Wildwood (Field-Tested)
SCAR-20 | Contractor (Battle-Scarred)
SSG 08 | Green Ceramic (Battle-Scarred)
Five-SeveN | Midnight Paintover (Field-Tested)
M4A1-S | Night Terror (Field-Tested)
Galil AR | Green Apple (Factory New)
Dual Berettas | BorDeux (Minimal Wear)
MP9 | Multi-Terrain (Battle-Scarred)
Nova | Dark Sigil (Field-Tested)
FAMAS | Byproduct (Battle-Scarred)
MP7 | Coral Paisley (Field-Tested)
MP5-SD | Dirt Drop (Well-Worn)
PP-Bizon | Wood Block Camo (Battle-Scarred)
SG 553 | Ol' Rusty (Field-Tested)
AK-47 | Wintergreen (Field-Tested)
USP-S | PC-GRN (Battle-Scarred)
XM1014 | Gum Wall Camo (Field-Tested)
PP-Bizon | Wood Block Camo (Factory New)
USP-S | Forest Leaves (Field-Tested)
Tec-9 | Red Quartz (Minimal Wear)
Dual Berettas | Polished Malachite (Field-Tested)
SSG 08 | Tiger Tear (Minimal Wear)
P250 | Sleet (Factory New)
P90 | Neoqueen (Field-Tested)
P90 | Blue Tac (Factory New)
MP5-SD | Savannah Halftone (Well-Worn)
Tec-9 | Rebel (Field-Tested)
Desert Eagle | Heat Treated (Battle-Scarred)
R8 Revolver | Bone Mask (Field-Tested)
MP7 | Coral Paisley (Minimal Wear)
AUG | Commando Company (Well-Worn)
USP-S | Silent Shot (Minimal Wear)
SSG 08 | Grey Smoke (Well-Worn)
SG 553 | Cyberforce (Well-Worn)
Five-SeveN | Scrawl (Field-Tested)
M4A4 | Aeolian Dark (Minimal Wear)
MP7 | Forest DDPAT (Field-Tested)
Negev | Drop Me (Well-Worn)
AUG | Snake Pit (Field-Tested)
Desert Eagle | Tilted (Well-Worn)
AK-47 | Elite Build (Battle-Scarred)
MP9 | Buff Blue (Well-Worn)
P90 | Desert Halftone (Well-Worn)
Five-SeveN | Coolant (Well-Worn)
R8 Revolver | Inlay (Field-Tested)
Galil AR | Connexion (Field-Tested)
FAMAS | Colony (Well-Worn)
Dual Berettas | Silver Pour (Well-Worn)
XM1014 | Mockingbird (Battle-Scarred)
Tec-9 | Banana Leaf (Minimal Wear)
MAC-10 | Light Box (Minimal Wear)
StatTrak™ Glock-18 | Winterized (Well-Worn)
Five-SeveN | Flame Test (Field-Tested)
MAC-10 | Candy Apple (Factory New)
Glock-18 | Block-18 (Minimal Wear)
MAG-7 | Resupply (Battle-Scarred)
StatTrak™ M4A4 | Poly Mag (Well-Worn)
R8 Revolver | Crazy 8 (Field-Tested)
R8 Revolver | Banana Cannon (Battle-Scarred)
SG 553 | Basket Halftone (Factory New)
CZ75-Auto | Copper Fiber (Minimal Wear)
Nova | Turquoise Pour (Factory New)
USP-S | Ticket to Hell (Minimal Wear)
MAC-10 | Bronzer (Factory New)
M4A4 | Naval Shred Camo (Battle-Scarred)
PP-Bizon | RMX (Battle-Scarred)
Galil AR | Metallic Squeezer (Field-Tested)
USP-S | Ticket to Hell (Well-Worn)
M4A4 | Mainframe (Minimal Wear)
Dual Berettas | Rose Nacre (Battle-Scarred)
P2000 | Red Wing (Well-Worn)
USP-S | Flashback (Field-Tested)
P2000 | Red Wing (Minimal Wear)
MAG-7 | Foresight (Minimal Wear)
M4A1-S | Electrum (Battle-Scarred)
G3SG1 | Dream Glade (Field-Tested)
MP9 | Nexus (Field-Tested)
SG 553 | Ol' Rusty (Minimal Wear)
M4A4 | Steel Work (Well-Worn)
UMP-45 | Arctic Wolf (Field-Tested)
P2000 | Amber Fade (Factory New)
StatTrak™ SSG 08 | Mainframe 001 (Field-Tested)
Desert Eagle | Bronze Deco (Field-Tested)
MAG-7 | Foresight (Factory New)
Glock-18 | Winterized (Minimal Wear)
AK-47 | Emerald Pinstripe (Field-Tested)
USP-S | Forest Leaves (Minimal Wear)
M4A4 | Tooth Fairy (Field-Tested)
Glock-18 | Candy Apple (Field-Tested)
M4A1-S | Glitched Paint (Field-Tested)
UMP-45 | Urban DDPAT (Minimal Wear)
MP7 | Forest DDPAT (Minimal Wear)
Desert Eagle | Serpent Strike (Factory New)
Nova | Sand Dune (Well-Worn)
AK-47 | Aphrodite (Well-Worn)
Negev | Bulkhead (Well-Worn)
StatTrak™ M4A4 | Etch Lord (Field-Tested)
Sawed-Off | Snake Camo (Well-Worn)
M4A1-S | Black Lotus (Factory New)
StatTrak™ SCAR-20 | Poultrygeist (Minimal Wear)
Glock-18 | Clear Polymer (Well-Worn)
XM1014 | CaliCamo (Field-Tested)
MAC-10 | Poplar Thicket (Minimal Wear)
AWP | Phobos (Minimal Wear)
XM1014 | Entombed (Field-Tested)
SG 553 | Ol' Rusty (Factory New)
StatTrak™ P2000 | Lifted Spirits (Field-Tested)
P250 | Cyber Shell (Field-Tested)
SCAR-20 | Poultrygeist (Battle-Scarred)
StatTrak™ P90 | Freight (Field-Tested)
MAG-7 | Monster Call (Well-Worn)
MAG-7 | MAGnitude (Battle-Scarred)
P250 | Bullfrog (Factory New)
MAC-10 | Allure (Field-Tested)
Glock-18 | Umbral Rabbit (Minimal Wear)
MP7 | Astrolabe (Battle-Scarred)
MP7 | Sunbaked (Minimal Wear)
G3SG1 | Jungle Dashed (Well-Worn)
G3SG1 | VariCamo (Factory New)
AWP | Acheron (Minimal Wear)
FAMAS | Halftone Wash (Factory New)
Desert Eagle | Oxide Blaze (Factory New)
PP-Bizon | Night Ops (Minimal Wear)
M4A4 | Mainframe (Well-Worn)
StatTrak™ MAG-7 | Foresight (Field-Tested)
SSG 08 | Calligrafaux (Factory New)
M4A1-S | Decimator (Field-Tested)
MP7 | Just Smile (Minimal Wear)
StatTrak™ UMP-45 | Roadblock (Field-Tested)
SG 553 | Night Camo (Well-Worn)
MP5-SD | Co-Processor (Field-Tested)
P250 | Valence (Field-Tested)
XM1014 | Blue Spruce (Well-Worn)
AWP | Pit Viper (Well-Worn)
MAC-10 | Allure (Battle-Scarred)
Sawed-Off | Fubar (Battle-Scarred)
Sawed-Off | Kiss♥Love (Field-Tested)
StatTrak™ MP9 | Modest Threat (Field-Tested)
Galil AR | Connexion (Battle-Scarred)
StatTrak™ Glock-18 | Off World (Well-Worn)
AK-47 | The Outsiders (Field-Tested)
AWP | Atheris (Minimal Wear)
MAC-10 | Calf Skin (Factory New)
Five-SeveN | Fraise Crane (Field-Tested)
USP-S | Jawbreaker (Battle-Scarred)
SG 553 | Dragon Tech (Minimal Wear)
AK-47 | Slate (Factory New)
Desert Eagle | Mecha Industries (Factory New)
Desert Eagle | Conspiracy (Factory New)
USP-S | Cortex (Factory New)
Glock-18 | Vogue (Factory New)
AWP | Atheris (Factory New)
M4A1-S | Decimator (Factory New)
M4A4 | In Living Color (Factory New)
Five-SeveN | Angry Mob (Factory New)
P250 | Asiimov (Field-Tested)
MP9 | Food Chain (Factory New)
MAC-10 | Disco Tech (Factory New)
Galil AR | Chromatic Aberration (Factory New)
FAMAS | ZX Spectron (Factory New)
